Name	YT Scope Project	
File	C:\Users\34468\Documents\GitHub\Selettori_Colori\Scope\Scope Project.csv	
Starttime of export	133286225188940000	lunedì 15 maggio 2023	13:08:38.894
Endtime of export	133286226059540000	lunedì 15 maggio 2023	13:10:05.954


Name	bMotorImpulse	Name	nColorSensor
SymbolComment	I1  (NC)	SymbolComment	I4
Data-Type	BIT	Data-Type	REAL32
SampleTime[ms]	10	SampleTime[ms]	10
VariableSize	1	VariableSize	4
SymbolBased	True	SymbolBased	True
IndexGroup	61472	IndexGroup	16448
IndexOffset	450456	IndexOffset	385012
SymbolName	MAIN.stRawIn.bMotorImpulse	SymbolName	MAIN.stIn.nColorSensor
NetID	5.85.197.242.1.1	NetID	5.85.197.242.1.1
Port	852	Port	852
Offset	0	Offset	0
ScaleFactor	1	ScaleFactor	1
BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff
Unit	(None)	Unit	(None)
Unit ScaleFactor	1	Unit ScaleFactor	1
Unit Offset	0	Unit Offset	0

3120	0	3120	7,603076
3130	0	3130	7,60216045
3140	0	3140	7,60216045
3150	0	3150	7,60368633
3160	0	3160	7,60368633
3170	0	3170	7,60246563
3180	1	3180	7,60246563
3190	1	3190	7,60185528
3200	1	3200	7,601245
3210	1	3210	7,60216045
3220	1	3220	7,603076
3230	1	3230	7,603076
3240	1	3240	7,603381
3250	1	3250	7,603076
3260	0	3260	7,60216045
3270	0	3270	7,60155
3280	0	3280	7,60155
3290	0	3290	7,60155
3300	0	3300	7,60063457
3310	0	3310	7,60063457
3320	0	3320	7,60063457
3330	0	3330	7,599719
3340	0	3340	7,599719
3350	0	3350	7,599414
3360	0	3360	7,599414
3370	0	3370	7,599719
3380	0	3380	7,600024
3390	1	3390	7,60063457
3400	1	3400	7,60093975
3410	1	3410	7,600024
3420	1	3420	7,59880352
3430	1	3430	7,599414
3440	1	3440	7,599414
3450	1	3450	7,59849834
3460	1	3460	7,59849834
3470	0	3470	7,598193
3480	0	3480	7,598193
3490	0	3490	7,59727764
3500	0	3500	7,59666729
3510	0	3510	7,59666729
3520	0	3520	7,59727764
3530	0	3530	7,598193
3540	0	3540	7,59849834
3550	0	3550	7,599414
3560	0	3560	7,60063457
3570	0	3570	7,600024
3580	1	3580	7,59880352
3590	1	3590	7,599414
3600	1	3600	7,600024
3610	1	3610	7,600024
3620	1	3620	7,600024
3630	1	3630	7,60063457
3640	1	3640	7,60063457
3650	1	3650	7,599719
3660	0	3660	7,59880352
3670	0	3670	7,59849834
3680	0	3680	7,599414
3690	0	3690	7,600024
3700	0	3700	7,599719
3710	0	3710	7,599719
3720	0	3720	7,599414
3730	0	3730	7,600024
3740	0	3740	7,600024
3750	0	3750	7,5991087
3760	0	3760	7,5991087
3770	1	3770	7,597583
3780	1	3780	7,597583
3790	1	3790	7,597583
3800	1	3800	7,59666729
3810	1	3810	7,59727764
3820	1	3820	7,59849834
3830	1	3830	7,5991087
3840	1	3840	7,5991087
3850	0	3850	7,599414
3860	0	3860	7,600024
3870	0	3870	7,60155
